gene,gene_synonym
ANGPTL5,-angiopoietin like 5 
ANK2-AS1,-ANK2 antisense RNA 1 
ANKRD10-IT1,-ANKRD10 intronic transcript 1 
ANKRD33B-AS1,-ANKRD33B antisense RNA 1 
ANKRD34C-AS1,-ANKRD34C antisense RNA 1 
ANKRD44-AS1,-ANKRD44 antisense RNA 1 
ANKRD44-IT1,-ANKRD44 intronic transcript 1 
ANKDD1A,-ankyrin repeat and death domain containing 1A 
ANKDD1B,-ankyrin repeat and death domain containing 1B 
ANKFN1,-ankyrin repeat and fibronectin type III domain containing 1 
ANKIB1,-ankyrin repeat and IBR domain containing 1 
ASB11,-ankyrin repeat and SOCS box containing 11 
ASB12,-ankyrin repeat and SOCS box containing 12 
ASB13,-ankyrin repeat and SOCS box containing 13 
ASB14,-ankyrin repeat and SOCS box containing 14 
ASB15,-ankyrin repeat and SOCS box containing 15 
ASB16,-ankyrin repeat and SOCS box containing 16 
ASB6,-ankyrin repeat and SOCS box containing 6 
ASB7,-ankyrin repeat and SOCS box containing 7 
ASB9,-ankyrin repeat and SOCS box containing 9 
ASB9P1,-ankyrin repeat and SOCS box containing 9 pseudogene 1 
ANKS3,-ankyrin repeat and sterile alpha motif domain containing 3 
ANKRD10,-ankyrin repeat domain 10 
LOC100287912,-ankyrin repeat domain 11 pseudogene 
LOC100419906,-ankyrin repeat domain 11 pseudogene 
ANKRD13B,-ankyrin repeat domain 13B 
ANKRD13D,-ankyrin repeat domain 13D 
ANKRD16,-ankyrin repeat domain 16 
ANKRD18A,-ankyrin repeat domain 18A 
LOC644249,-ankyrin repeat domain 18A pseudogene 
LOC110091776,-ankyrin repeat domain 18B pseudogene 
ANKRD18CP,"-ankyrin repeat domain 18C, pseudogene "
ANKRD18DP,"-ankyrin repeat domain 18D, pseudogene "
ANKRD18EP,"-ankyrin repeat domain 18E, pseudogene "
LOC642204,-ankyrin repeat domain 20 family member A1 pseudogene 
ANKRD20A12P,"-ankyrin repeat domain 20 family member A12, pseudogene "
ANKRD20A13P,"-ankyrin repeat domain 20 family member A13, pseudogene "
ANKRD20A14P,"-ankyrin repeat domain 20 family member A14, pseudogene "
ANKRD20A15P,"-ankyrin repeat domain 20 family member A15, pseudogene "
ANKRD20A16P,"-ankyrin repeat domain 20 family member A16, pseudogene "
ANKRD20A17P,"-ankyrin repeat domain 20 family member A17, pseudogene "
ANKRD20A19P,"-ankyrin repeat domain 20 family member A19, pseudogene "
ANKRD20A2,-ankyrin repeat domain 20 family member A2 
LOC100288656,-ankyrin repeat domain 20 family member A2 pseudogene 
ANKRD20A21P,"-ankyrin repeat domain 20 family member A21, pseudogene "
ANKRD20A3,-ankyrin repeat domain 20 family member A3 
ANKRD20A4,-ankyrin repeat domain 20 family member A4 
ANKRD20A6P,"-ankyrin repeat domain 20 family member A6, pseudogene "
ANKRD20A7P,"-ankyrin repeat domain 20 family member A7, pseudogene "
ANKRD20A9P,"-ankyrin repeat domain 20 family member A9, pseudogene "
ANKRD22,-ankyrin repeat domain 22 
ANKRD24,-ankyrin repeat domain 24 
LOC643348,-ankyrin repeat domain 26 pseudogene 
LOC650226,-ankyrin repeat domain 26 pseudogene 
ANKRD26P1,-ankyrin repeat domain 26 pseudogene 1 
ANKRD26P2,-ankyrin repeat domain 26 pseudogene 2 
ANKRD26P4,-ankyrin repeat domain 26 pseudogene 4 
ANKRD29,-ankyrin repeat domain 29 
LOC644669,-ankyrin repeat domain 30B pseudogene 
LOC100132004,-ankyrin repeat domain 30B pseudogene 
LOC100132154,-ankyrin repeat domain 30B pseudogene 
ANKRD30BP3,-ankyrin repeat domain 30B pseudogene 3 
ANKRD31,-ankyrin repeat domain 31 
ANKRD33B,-ankyrin repeat domain 33B 
LOC100419920,-ankyrin repeat domain 33B pseudogene 
LOC100420021,-ankyrin repeat domain 33B pseudogene 
LOC100420022,-ankyrin repeat domain 33B pseudogene 
LOC100420024,-ankyrin repeat domain 33B pseudogene 
LOC100420025,-ankyrin repeat domain 33B pseudogene 
ANKRD34C,-ankyrin repeat domain 34C 
ANKRD35,-ankyrin repeat domain 35 
ANKRD36P1,-ankyrin repeat domain 36 pseudogene 1 
ANKRD36BP2,-ankyrin repeat domain 36B pseudogene 2 
ANKRD36C,-ankyrin repeat domain 36C 
ANKRD39,-ankyrin repeat domain 39 
LOC100124373,-ankyrin repeat domain 39 pseudogene 
ANKRD40,-ankyrin repeat domain 40 
LOC391834,-ankyrin repeat domain 49 pseudogene 
LOC100130680,-ankyrin repeat domain 49 pseudogene 
LOC100419814,-ankyrin repeat domain 49 pseudogene 
ANKRD50,-ankyrin repeat domain 50 
ANKRD53,-ankyrin repeat domain 53 
ANKRD54P1,-ankyrin repeat domain 54 pseudogene 1 
ANKRD55,-ankyrin repeat domain 55 
LOC389834,-ankyrin repeat domain 57 pseudogene 
LOC642249,-ankyrin repeat domain 57 pseudogene 
LOC653071,-ankyrin repeat domain 57 pseudogene 
LOC100419815,-ankyrin repeat domain 57 pseudogene 
LOC100419957,-ankyrin repeat domain 57 pseudogene 
ANKRD57P1,-ankyrin repeat domain 57 pseudogene 1 
ANKRD6,-ankyrin repeat domain 6 
ANKRD61,-ankyrin repeat domain 61 
ANKRD62P1,-ankyrin repeat domain 62 pseudogene 1 
ANKRD63,-ankyrin repeat domain 63 
ANKRD65,-ankyrin repeat domain 65 
ANKRD66,-ankyrin repeat domain 66 
ANKRD9,-ankyrin repeat domain 9 
LOC105379426,-ankyrin repeat domain-containing protein 20A2 
LOC100996316,-ankyrin repeat domain-containing protein 20A2-like 
LOC101928041,-ankyrin repeat domain-containing protein 20A2-like 
LOC105379417,-ankyrin repeat domain-containing protein 20A2-like 
LOC100289026,-ankyrin repeat domain-containing protein 20A4-like 
LOC102723382,-ankyrin repeat domain-containing protein 20B-like 
LOC101927375,-ankyrin repeat domain-containing protein 26-like 
LOC112268265,-ankyrin repeat domain-containing protein 26-like 
LOC101929816,-ankyrin repeat domain-containing protein 30A-like 
LOC100129384,-ankyrin repeat domain-containing protein 33B-like 
LOC100287028,-ankyrin repeat domain-containing protein 33B-like 
LOC100507561,-ankyrin repeat domain-containing protein 33B-like 
LOC100507606,-ankyrin repeat domain-containing protein 33B-like 
LOC100652976,-ankyrin repeat domain-containing protein 33B-like 
LOC105376334,-ankyrin repeat domain-containing protein 36B pseudogene 
LOC729369,-ankyrin repeat domain-containing protein 36B-like 
LOC107987186,-ankyrin repeat domain-containing protein 36B-like 
ANO1-AS1,-ANO1 antisense RNA 1 
ANO3-AS1,-ANO3 antisense RNA 1 
ANON1,"-Anorexia nervosa, susceptibility to, 1 "
AMN1,-antagonist of mitotic exit network 1 homolog 
MIC7,-antigen identified by monoclonal antibody 28.3.7 
MIC12,-antigen identified by monoclonal antibody 30.2A8 
ANTXRLP1,-ANTXR like pseudogene 1 
AOAH-IT1,-AOAH intronic transcript 1 
AAA2,"-Aortic aneurysm, familial abdominal 2 "
AAA4,"-Aortic aneurysm, familial abdominal, 4 "
LOC101929932,-AP-3 complex subunit sigma-1-like 
AP1S2P1,-AP1S2 pseudogene 1 
AAK1,-AP2 associated kinase 1 
AP4B1-AS1,-AP4B1 antisense RNA 1 
APCDD1L,-APC down-regulated 1 like 
LOC647996,-apical junction component 1 homolog pseudogene 
LOC100887076,-apical junction component 1 homolog pseudogene 
APOB3'MAR,-APOB 3' scaffold/matrix attachment region (S/MAR) 
LOC106560211,-APOB 5' regulatory region 
APOBEC3B-AS1,-APOBEC3B antisense RNA 1 
APOBEC3AP1,-apolipoprotein B mRNA editing enzyme catalytic subunit 3A pseudogene 1 
APOC1P1,-apolipoprotein C1 pseudogene 1 
APOOP1,-apolipoprotein O pseudogene 1 
APOOP2,-apolipoprotein O pseudogene 2 
APOOP3,-apolipoprotein O pseudogene 3 
APOOP4,-apolipoprotein O pseudogene 4 
APOOP5,-apolipoprotein O pseudogene 5 
API5P2,-apoptosis inhibitor 5 pseudogene 2 
LOC100505995,"-apoptosis-inducing, TAF9-like domain 1 pseudogene "
AQP7P2,-aquaporin 7 pseudogene 2 
AQP7P4,-aquaporin 7 pseudogene 4 
AQP7P5,-aquaporin 7 pseudogene 5 
ALOX15P2,-arachidonate 15-lipoxygenase pseudogene 2 
ALOXE3P1,-arachidonate lipoxygenase 3 pseudogene 1 
ARAFP1,-ARAF pseudogene 1 
ARAP1-AS1,-ARAP1 antisense RNA 1 
ARAP1-AS2,-ARAP1 antisense RNA 2 
AMZ1,-archaelysin family metallopeptidase 1 
AMZ2,-archaelysin family metallopeptidase 2 
LOC100128929,-archaelysin family metallopeptidase 2 pseudogene 
LOC100288192,-archaelysin family metallopeptidase 2 pseudogene 
AMZ2P1,-archaelysin family metallopeptidase 2 pseudogene 1 
AMZ2P2,-archaelysin family metallopeptidase 2 pseudogene 2 
LOC112268475,"-arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 pseudogene "
LOC107984638,"-arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 "
LOC107986596,"-arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2-like "
LOC107984026,"-arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4-like "
ARF4-AS1,-ARF4 antisense RNA 1 
LOC126860,"-ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 pseudogene "
LOC100422376,"-ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 pseudogene "
AGAP11,"-ArfGAP with GTPase domain, ankyrin repeat and PH domain 11 "
ARG1,-arginase 1 
ARG2,-arginase 2 
LOC100129854,-arginase 2 pseudogene 
ARGLU1,-arginine and glutamate rich 1 
LOC100129202,-arginine and serine rich coiled-coil 1 pseudogene 
RSRC2,-arginine and serine rich coiled-coil 2 
LOC100631255,-arginine and serine rich coiled-coil 2 pseudogene 
ARGFXP1,-arginine-fifty homeobox pseudogene 1 
ARGFXP2,-arginine-fifty homeobox pseudogene 2 
REREP1Y,-arginine-glutamic acid dipeptide repeats pseudogene 1 Y-linked 
REREP2Y,-arginine-glutamic acid dipeptide repeats pseudogene 2 Y-linked 
REREP3,-arginine-glutamic acid dipeptide repeats pseudogene 3 
LOC100420226,-argininosuccinate synthase 1 pseudogene 
RNPEPL1,-arginyl aminopeptidase like 1 
ATE1,-arginyltransferase 1 
ARHGAP15-AS1,-ARHGAP15 antisense RNA 1 
ARHGAP22-IT1,-ARHGAP22 intronic transcript 1 
ARHGAP26-AS1,-ARHGAP26 antisense RNA 1 
ARHGAP26-IT1,-ARHGAP26 intronic transcript 1 
ARHGAP29-AS1,-ARHGAP29 antisense RNA 1 
ARHGAP31-AS1,-ARHGAP31 antisense RNA 1 
ARHGEF19-AS1,-ARHGEF19 antisense RNA 1 
ARHGEF2-AS1,-ARHGEF2 antisense RNA 1 
ARHGEF26-AS1,-ARHGEF26 antisense RNA 1 
ARHGEF3-AS1,-ARHGEF3 antisense RNA 1 
ARHGEF35-AS1,-ARHGEF35 antisense RNA 1 
ARHGEF38-IT1,-ARHGEF38 intronic transcript 1 
ARHGEF7-AS1,-ARHGEF7 antisense RNA 1 
ARHGEF7-AS2,-ARHGEF7 antisense RNA 2 
ARHGEF7-IT1,-ARHGEF7 intronic transcript 1 
ARHGEF9-IT1,-ARHGEF9 intronic transcript 1 
LOC100131429,-armadillo repeat containing 1 pseudogene 
ARMC10P1,-armadillo repeat containing 10 pseudogene 1 
ARMC4P1,-armadillo repeat containing 4 pseudogene 1 
ARMC7,-armadillo repeat containing 7 
ARMC8P1,-armadillo repeat containing 8 pseudogene 1 
LOC347674,-armadillo repeat containing X-linked 2 pseudogene 
ARMC2-AS1,-ARMC2 antisense RNA 1 
ARMCX3-AS1,-ARMCX3 antisense RNA 1 
ARNTL2-AS1,-ARNTL2 antisense RNA 1 
ARPP21-AS1,-ARPP21 antisense RNA 1 
ARRDC3-AS1,-ARRDC3 antisense RNA 1 
ARRDC1,-arrestin domain containing 1 
ARRDC4,-arrestin domain containing 4 
ARRDC5,-arrestin domain containing 5 
ARVD4,-arrhythmogenic right ventricular dysplasia 4 
ARVD6,-arrhythmogenic right ventricular dysplasia 6 
ARSD-AS1,-ARSD antisense RNA 1 
DA4,"-arthrogryposis, distal, type 4 "
AMCX5,"-arthrogryposis, X-linked, type 5 "
AADACL2,-arylacetamide deacetylase like 2 
AADACL3,-arylacetamide deacetylase like 3 
AADACL4,-arylacetamide deacetylase like 4 
AADACP1,-arylacetamide deacetylase pseudogene 1 
ASAP1-IT2,-ASAP1 intronic transcript 2 
ASB15-AS1,-ASB15 antisense RNA 1 
ASH1L-AS1,-ASH1L antisense RNA 1 
ASH1L-IT1,-ASH1L intronic transcript 1 
ASH2LP1,-ASH2L pseudogene 1 
ASH2LP2,-ASH2L pseudogene 2 
ASH2LP3,-ASH2L pseudogene 3 
ASIC4-AS1,-ASIC4 antisense RNA 1 
ASNSP3,-asparagine synthetase pseudogene 3 
ASNSP4,-asparagine synthetase pseudogene 4 
ASNSP5,-asparagine synthetase pseudogene 5 
ASNSP6,-asparagine synthetase pseudogene 6 
ASPHD1,-aspartate beta-hydroxylase domain containing 1 
ASPHD2,-aspartate beta-hydroxylase domain containing 2 
ASPG1,"-Asperger syndrome, susceptibility to, 1 "
ASPG2,"-Asperger syndrome, susceptibility to, 2 "
ASPG3,"-Asperger syndrome, susceptibility to, 3 "
ASPG4,"-Asperger syndrome, susceptibility to, 4 "
ASOBS,"-Asthma and obesity susceptibility, chromosome 16p11 inversion related "
ASRT3,"-Asthma-related traits, susceptibility to, 3 "
ASRT4,"-Asthma-related traits, susceptibility to, 4 "
ASRT6,"-Asthma-related traits, susceptibility to, 6 "
ASRT8,"-Asthma-related traits, susceptibility to, 8 "
ASTN2-AS1,-ASTN2 antisense RNA 1 
LOC646555,-AT-rich interaction domain 3B pseudogene 
ARID3C,-AT-rich interaction domain 3C 
LOC108663993,-ataxin 1 repeat instability region 
LOC108660404,-ataxin 10 repeat instability region 
LOC317727,-ataxin 2 like pseudogene 
LOC100132280,-ataxin 3 pseudogene 
LOC100418768,-ataxin 3 pseudogene 
LOC108663987,-ataxin 3 repeat instability region 
ATXN7L2,-ataxin 7 like 2 
ATXN7L3,-ataxin 7 like 3 
LOC392485,-ataxin 7 like 3 pseudogene 
LOC108660406,-ataxin 7 repeat instability region 
ATXN8,-ataxin 8 
ATE1-AS1,-ATE1 antisense RNA 1 
ATG10-AS1,-ATG10 antisense RNA 1 
ATG10-IT1,-ATG10 intronic transcript 1 
ABCA13,-ATP binding cassette subfamily A member 13 
LOC342293,-ATP binding cassette subfamily A member 3 pseudogene 
ABCA8,-ATP binding cassette subfamily A member 8 
ABCC6P1,-ATP binding cassette subfamily C member 6 pseudogene 1 
ABCC6P2,-ATP binding cassette subfamily C member 6 pseudogene 2 
ABCD1P1,-ATP binding cassette subfamily D member 1 pseudogene 1 
ABCD1P3,-ATP binding cassette subfamily D member 1 pseudogene 3 
ABCD1P5,-ATP binding cassette subfamily D member 1 pseudogene 5 
LOC442517,-ATP binding cassette subfamily E member 1 pseudogene 
LOC647150,-ATP binding cassette subfamily E member 1 pseudogene 
ABCF2P1,-ATP binding cassette subfamily F member 2 pseudogene 1 
ABCF2P2,-ATP binding cassette subfamily F member 2 pseudogene 2 
LOC100422194,-ATP binding cassette subfamily G member 2 (Junior blood group) pseudogene 
LOC100422225,-ATP binding cassette subfamily G member 2 (Junior blood group) pseudogene 
LOC100533842,-ATP binding cassette subfamily G member 2 (Junior blood group) pseudogene 
ATP6,-ATP synthase F0 subunit 6 
ATP6,-ATP synthase F0 subunit 6 
ATP8,-ATP synthase F0 subunit 8 
ATP8,-ATP synthase F0 subunit 8 
LOC100652967,-ATP synthase membrane subunit 6.8PL 0pseudogene 
LOC100507083,-ATP synthase membrane subunit c locus 2 pseudogene 
LOC100287966,"-ATP synthase-coupling factor 6, mitochondrial-like "
LOC101928296,"-ATP synthase-coupling factor 6, mitochondrial-like "
ATP11A-AS1,-ATP11A antisense RNA 1 
ATP13A4-AS1,-ATP13A4 antisense RNA 1 
ATP13A5-AS1,-ATP13A5 antisense RNA 1 
ATP1B3-AS1,-ATP1B3 antisense RNA 1 
ATP2A1-AS1,-ATP2A1 antisense RNA 1 
ATP2B2-IT1,-ATP2B2 intronic transcript 1 
ATP2B2-IT2,-ATP2B2 intronic transcript 2 
ATP2C2-AS1,-ATP2C2 antisense RNA 1 
ATP6V0E2-AS1,-ATP6V0E2 antisense RNA 1 
ATP6V1B1-AS1,-ATP6V1B1 antisense RNA 1 
ATP13A4,-ATPase 13A4 
ATP13A5,-ATPase 13A5 
ATP7BP1,-ATPase copper transporting beta pseudogene 1 
LOC100129774,-ATPase family AAA domain containing 1 pseudogene 
ATAD2B,-ATPase family AAA domain containing 2B 
ATAD3C,-ATPase family AAA domain containing 3C 
ATP6AP1L,-ATPase H+ transporting accessory protein 1 like 
LOC127011,-ATPase H+ transporting accessory protein 2 pseudogene 
ATP6V0CP2,-ATPase H+ transporting V0 subunit c pseudogene 2 
ATP6V0CP3,-ATPase H+ transporting V0 subunit c pseudogene 3 
ATP6V0CP4,-ATPase H+ transporting V0 subunit c pseudogene 4 
ATP6V0E1P1,-ATPase H+ transporting V0 subunit e1 pseudogene 1 
ATP6V0E1P2,-ATPase H+ transporting V0 subunit e1 pseudogene 2 
ATP6V0E1P3,-ATPase H+ transporting V0 subunit e1 pseudogene 3 
ATP6V0E1P4,-ATPase H+ transporting V0 subunit e1 pseudogene 4 
ATP6V1G1P3,-ATPase H+ transporting V1 subunit G1 pseudogene 3 
ATP6V1G1P4,-ATPase H+ transporting V1 subunit G1 pseudogene 4 
ATP6V1G1P5,-ATPase H+ transporting V1 subunit G1 pseudogene 5 
ATP6V1G1P6,-ATPase H+ transporting V1 subunit G1 pseudogene 6 
ATP6V1G1P7,-ATPase H+ transporting V1 subunit G1 pseudogene 7 
LOC100533848,-ATPase H+/K+ transporting non-gastric alpha2 subunit pseudogene 
LOC100421417,-ATPase H+/K+ transporting subunit beta pseudogene 
ATP1B4,-ATPase Na+/K+ transporting family member beta 4 
LOC100421751,-ATPase Na+/K+ transporting subunit beta 3 pseudogene 
ATP1B3P1,-ATPase Na+/K+ transporting subunit beta 3 pseudogene 1 
ATP8A2P1,-ATPase phospholipid transporting 8A2 pseudogene 1 
ATP8A2P2,-ATPase phospholipid transporting 8A2 pseudogene 2 
ATP8A2P3,-ATPase phospholipid transporting 8A2 pseudogene 3 
LOC442382,-ATPase plasma membrane Ca2+ transporting 1 pseudogene 
ATFB1,"-Atrial fibrillation, familial 1 "
ATFB5,"-Atrial fibrillation, familial, 5 "
ATFB8,"-Atrial fibrillation, familial, 8 "
ASD1,-atrial septal defect 1 
LOC100418822,-atrophin 1 pseudogene 
LOC109461484,-atrophin 1 repeat instability region 
ADHD1,"-Attention deficit-hyperactivity disorder, susceptibility to, 1 "
ADHD2,"-Attention deficit-hyperactivity disorder, susceptibility to, 2 "
ADHD4,"-Attention deficit-hyperactivity disorder, susceptibility to, 4 "
ADHD5,"-Attention deficit-hyperactivity disorder, susceptibility to, 5 "
ADHD6,"-Attention deficit-hyperactivity disorder, susceptibility to, 6 "
ATXN1-AS1,-ATXN1 antisense RNA 1 
LOC109461478,-ATXN8 opposite strand (non-protein coding) repeat instability region 
LOC646012,-aurora kinase A interacting protein 1 pseudogene 
LOC100420990,-aurora kinase A interacting protein 1 pseudogene 
AUTS1,"-Autism, susceptibility to, 1 "
AUTS11,"-Autism, susceptibility to, 11 "
AUTS12,"-autism, susceptibility to, 12 "
AUTS13,"-autism, susceptibility to, 13 "
AUTS3,"-Autism, susceptibility to, 3 "
AUTS5,"-Autism, susceptibility to, 5 "
AUTS6,"-Autism, susceptibility to, 6 "
AUTS7,"-Autism, susceptibility to, 7 "
AIS1,-autoimmune susceptibility 1 
AITD1,"-Autoimmune thyroid disease, susceptibility to, 1 "
AITD2,"-Autoimmune thyroid disease, susceptibility to, 2 "
AITD4,"-Autoimmune thyroid disease, susceptibility to, 4 "
ATG12P2,-autophagy related 12 pseudogene 2 
ATG2A,-autophagy related 2A 
ATG4AP1,-autophagy related 4A cysteine peptidase pseudogene 1 
LOC100418696,-axin 2 pseudogene 
AZGP1P1,-AZGP1 pseudogene 1 
AZGP1P2,-AZGP1 pseudogene 2 
AZIN1-AS1,-AZIN1 antisense RNA 1 
AZU1P1,-azurocidin 1 pseudogene 1 
BCL5,-B cell CLL/lymphoma 5 
BCAP31P1,-B cell receptor associated protein 31 pseudogene 1 
BCAP31P2,-B cell receptor associated protein 31 pseudogene 2 
BDP1P,-B double prime 1 pseudogene 
B3GALT1-AS1,-B3GALT1 antisense RNA 1 
B3GNT2P1,-B3GNT2 pseudogene 1 
B3GNTL1P1,-B3GNTL1 pseudogene 1 
B3GNTL1P2,-B3GNTL1 pseudogene 2 
B4GALNT2P1,-B4GALNT2 pseudogene 1 
B4GALT1-AS1,-B4GALT1 antisense RNA 1 
B4GALT4-AS1,-B4GALT4 antisense RNA 1 
BACH1-AS1,-BACH1 antisense RNA 1 
BACH1-IT2,-BACH1 intronic transcript 2 
LOC100420499,-BAI1 associated protein 2 like 1 pseudogene 
BAIAP2L2,-BAR/IMD domain containing adaptor protein 2 like 2 
BBS4,-Bardet-Biedl syndrome 4 
BBS5,-Bardet-Biedl syndrome 5 
BARHL1,-BarH like homeobox 1 
BARHL2,-BarH like homeobox 2 
BANF1P3,-barrier to autointegration factor 1 pseudogene 3 
BANF1P4,-barrier to autointegration factor 1 pseudogene 4 
BANF1P5,-barrier to autointegration factor 1 pseudogene 5 
BSNDP1,-barttin CLCNK type accessory beta subunit pseudogene 1 
BSNDP2,-barttin CLCNK type accessory beta subunit pseudogene 2 
BSNDP3,-barttin CLCNK type accessory beta subunit pseudogene 3 
BSNDP4,-barttin CLCNK type accessory beta subunit pseudogene 4 
BARX1,-BARX homeobox 1 
BARX2,-BARX homeobox 2 
LOC100533677,-basal body orientation factor 1 pseudogene 
BCC1,"-Basal cell carcinoma, susceptibility to, 1 "
BCC2,"-Basal cell carcinoma, susceptibility to, 2 "
